file_name,uniqueid,precision,recall
0_100xunying-liu_aminer.cnprofilexunying-liu53f441dbdabfaeecd699e645.csv,0_100,0,0
0_101zijian-zheng_aminer.cnprofilezijian-zheng560f0ef845cedb33976ed580.csv,0_101,0.10984848484848485,0.34523809523809523
0_102huanchen-wang_aminer.cnprofilehuanchen-wang63798942f789b382be9ad6a4.csv,0_102,0.07058823529411765,0.13953488372093023
0_103xu-ding_aminer.cnprofilexu-ding5630ea9445ceb49c5ddfc510.csv,0_103,0.07142857142857142,0.2
0_104nan-hao_aminer.cnprofilenan-hao63ae510f7d3ea0c54a78191c.csv,0_104,0.17777777777777778,0.36363636363636365
0_105Jialiang Wang_aminer.cnprofilejialiang-wang6327412ba95e4d1d05566e98.csv,0_105,0.1111111111111111,0.11764705882352941
0_105Wang Jialiang_aminer.cnprofilewang-jialiang5614849045ce1e596345c902.csv,0_105,0.25,0.11764705882352941
0_107yiwen-chen_aminer.cnprofileyiwen-chen5630906c45cedb3399abd7ce.csv,0_107,0.15384615384615385,0.07142857142857142
0_107yiwen-chen_aminer.cnprofileyiwen-chen6325c3d9293b827d857775dc.csv,0_107,0.07936507936507936,0.17857142857142858
0_110shan-zha_aminer.cnprofileshan-zha60bf246a6750f85387769829.csv,0_110,0.10666666666666667,0.22857142857142856
0_111jiangwen-zhang_aminer.cnprofilejiangwen-zhang5613e01445ce1e5963275da3.csv,0_111,0.2,0.29411764705882354
0_114huafeng-xie_aminer.cnprofilehuafeng-xie60dadfe19e795e60d9aea630.csv,0_114,0.21428571428571427,0.2727272727272727
0_115liao-jun_aminer.cnprofileliao-jun5614657645ce1e59633e9e52.csv,0_115,0,0
0_116guang-yao_aminer.cnprofileguang-yao6411566f51f0c0b04736eb8b.csv,0_116,0.17073170731707318,0.3181818181818182
0_117ning-liu_aminer.cnprofilening-liu54485c27dabfae87b7e12abd.csv,0_117,0.14666666666666667,0.34375
0_118Chen Zhang_aminer.cnprofilechen-zhang63273f61a95e4d1d0556584b.csv,0_118,0,0
0_118Chen Zhang_aminer.cnprofilechen-zhang63273f61a95e4d1d05565855.csv,0_118,0,0
0_122yongjie-yang_aminer.cnprofileyongjie-yang542a6ed8dabfae61d497cb72.csv,0_122,0,0
0_124Tang Yizhe_aminer.cnprofiletang-yizhe560e96fe45ce1e59614efb46.csv,0_124,0,0
0_128zhou-zhang_aminer.cnprofilezhou-zhang6170d8fd6750f87d918c459c.csv,0_128,0.3333333333333333,0.058823529411764705
0_130Baile Zhang_aminer.cnprofilebaile-zhang53f4cf1ddabfaeedd277caeb.csv,0_130,0.17254901960784313,0.5641025641025641
0_130Baile Zhang_aminer.cnprofilebaile-zhang61404cfc9e795ef43fb518fc.csv,0_130,0.23076923076923078,0.038461538461538464
0_137ni-ni_aminer.cnprofileni-ni616d52d96750f855b45ea9b4.csv,0_137,0.08056872037914692,0.14049586776859505
0_138weitao-dai_aminer.cnprofileweitao-dai53f42cc6dabfaedce54bc468.csv,0_138,0.2727272727272727,0.6
0_13luqiao-liu_aminer.cnprofileluqiao-liu53f3647edabfae4b3499472f.csv,0_13,0.1891891891891892,0.6363636363636364
0_141Xiaopeng Zong_aminer.cnprofilexiaopeng-zong54083478dabfae92b422f753.csv,0_141,0.075,0.15789473684210525
0_141Xiaopeng Zong_aminer.cnprofilexiaopeng-zong62aadb8dd9f2040d085e3e9a.csv,0_141,0,0
0_141Zong Xiaopeng_aminer.cnprofilezong-xiaopeng560b9c4645ce1e596026fd59.csv,0_141,0,0
0_142Xiaodong Xu_aminer.cnprofilexiaodong-xu561a252d45ce1e596458da03.csv,0_142,0.1095890410958904,0.3883495145631068
0_142Xiaodong Xu_aminer.cnprofilexiaodong-xu561d249f45ce1e596475b57f.csv,0_142,0.09090909090909091,0.019417475728155338
0_143Cui Meng_aminer.cnprofilecui-meng56272ecc45ce1e596580ac04.csv,0_143,0,0
0_143Meng Cui_aminer.cnprofilemeng-cui5631eed645cedb3399f63c03.csv,0_143,0.23529411764705882,0.38095238095238093
0_144Xiulin Ruan_aminer.cnprofilexiulin-ruan53f42c62dabfaee02ac52086.csv,0_144,0.21238938053097345,0.4897959183673469
0_146Sun Yuze_aminer.cnprofilesun-yuze562fe9c145ce1e596830517b.csv,0_146,0,0
0_146Yuze Sun_aminer.cnprofileyuze-sun53f42c76dabfaee1c0a2582f.csv,0_146,0.09210526315789473,0.3888888888888889
0_148Zhilei Chen_aminer.cnprofilezhilei-chen53f4361adabfaee2a1ce435d.csv,0_148,0.06896551724137931,0.14814814814814814
0_149Liangfang Zhang_aminer.cnprofileliangfang-zhang53f4525edabfaedf435fbf25.csv,0_149,0.04630969609261939,0.1871345029239766
0_14Yongtao Cui_aminer.cnprofileyongtao-cui53f4552bdabfaeecd69e6a21.csv,0_14,0.14102564102564102,0.4782608695652174
