ut_char,uniqueID,auseqence,fullname,surname,givenname,type,pub_year,paper_type,startyear,title,journal,issn,doi
WOS:000396046100002,0_156,74,"Ni, K",NI,K,2,2017,Article,2006,search for electronic recoil event rate modulation with 4 years of xenon100 data,physical review letters,0031-9007,10.1103/physrevlett.118.101101
WOS:000399945500001,0_156,78,"Ni, K",NI,K,2,2017,Article,2006,results from a calibration of xenon100 using a source of dissolved radon-220,physical review d,2470-0010,10.1103/physrevd.95.072008
WOS:000400642800003,0_156,79,"Ni, K",NI,K,2,2017,Article,2006,removing krypton from xenon by cryogenic distillation to the ppq level,european physical journal c,1434-6044,10.1140/epjc/s10052-017-4757-1
WOS:000402676000001,0_156,78,"Ni, K",NI,K,2,2017,Article,2006,online rn-222 removal by cryogenic distillation in the xenon100 experiment,european physical journal c,1434-6044,10.1140/epjc/s10052-017-4902-x
WOS:000406308600001,0_156,75,"Ni, K",NI,K,2,2017,Article,2006,search for wimp inelastic scattering off xenon nuclei with xenon100,physical review d,2470-0010,10.1103/physrevd.96.022008
WOS:000408704800001,0_156,75,"Ni, K",NI,K,2,2017,Article,2006,effective field theory search for high-energy nuclear recoils using the xenon100 dark matter detector,physical review d,2470-0010,10.1103/physrevd.96.042004
WOS:000413747500002,0_156,74,"Ni, K",NI,K,2,2017,Article,2006,search for magnetic inelastic dark matter with xenon100,journal of cosmology and astroparticle physics,1475-7516,10.1088/1475-7516/2017/10/039
WOS:000413903200005,0_156,79,"Ni, K",NI,K,2,2017,Article,2006,first dark matter search results from the xenon1t experiment,physical review letters,0031-9007,10.1103/physrevlett.119.181301
WOS:000417477700002,0_156,77,"Ni, K",NI,K,2,2017,Article,2006,search for bosonic super-wimp interactions with the xenon100 experiment,physical review d,2470-0010,10.1103/physrevd.96.122002
WOS:000418433200002,0_156,90,"Ni, K",NI,K,2,2017,Article,2006,the xenon1t dark matter experiment,european physical journal c,1434-6044,10.1140/epjc/s10052-017-5326-3
WOS:000247625300030,0_157,18,"LIN, MF",LIN,MF,2,2007,Article,2007,"first results from 2+1-flavor domain wall qcd mass spectrum, topology change, and chiral symmetry with l-s8",physical review d,1550-7998,1
WOS:000248544300045,0_157,19,"LIN, MF",LIN,MF,2,2007,Article,2007,2+1 flavor domain wall qcd on a 2 fm3 lattice light meson spectroscopy with ls16,physical review d,1550-7998,1
WOS:000252698100022,0_157,11,"Lin, MF",LIN,MF,2,2008,Article,2007,neutral-kaon mixing from 2+1-flavor domain-wall qcd,physical review letters,0031-9007,10.1103/physrevlett.100.032001
WOS:000252863700069,0_157,13,"Lin, Meifeng",LIN,MEIFENG,1,2008,Article,2007,localization and chiral symmetry in three flavor domain wall qcd,physical review d,1550-7998,10.1103/physrevd.77.014509
WOS:000255524300016,0_157,5,"Lin, MF",LIN,MF,2,2008,Article,2007,nucleon axial charge in 2+1-flavor dynamical-lattice qcd with domain-wall fermions,physical review letters,0031-9007,10.1103/physrevlett.100.171602
WOS:000261213900049,0_157,4,"Lin, MF",LIN,MF,2,2008,Article,2007,k -> pi and k -> 0 in 2+1 flavor partially quenched chiral perturbation theory,physical review d,1550-7998,10.1103/physrevd.78.094505
WOS:000262252200060,0_157,20,"Lin, MF",LIN,MF,2,2008,Review,2007,physical results from 2+1 flavor domain wall qcd and su2 chiral perturbation theory,physical review d,2470-0010,10.1103/physrevd.78.114509
WOS:000264762400050,0_157,9,"Lin, MF",LIN,MF,2,2009,Review,2007,light hadron spectroscopy using domain wall valence quarks on an asqtad sea,physical review d,2470-0010,10.1103/physrevd.79.054502
WOS:000275069000059,0_157,3,"Lin, MF",LIN,MF,2,2010,Article,2007,nucleon electromagnetic form factors from lattice qcd using 2+1 flavor domain wall fermions on fine lattices and chiral perturbation theory,physical review d,1550-7998,10.1103/physrevd.81.034507
WOS:000276194200078,0_157,8,"Lin, Meifeng",LIN,MEIFENG,1,2010,Article,2007,finite temperature qcd using 2+1 flavors of domain wall fermions at nt8,physical review d,1550-7998,10.1103/physrevd.81.054510
WOS:000283844300005,0_157,6,"Lin, MF",LIN,MF,2,2010,Article,2007,nucleon structure from mixed action calculations using 2+1 flavors of asqtad sea and domain wall valence fermions,physical review d,1550-7998,10.1103/physrevd.82.094502
WOS:000290110100003,0_157,16,"Lin, MF",LIN,MF,2,2011,Article,2007,continuum limit physics from 2+1 flavor domain wall qcd,physical review d,1550-7998,10.1103/physrevd.83.074508
WOS:000291313300002,0_157,9,"Lin, MF",LIN,MF,2,2011,Article,2007,parity doubling and the s parameter below the conformal window,physical review letters,0031-9007,10.1103/physrevlett.106.231601
WOS:000294404700003,0_157,3,"Lin, MF",LIN,MF,2,2011,Article,2007,lattice simulations and infrared conformality,physical review d,1550-7998,10.1103/physrevd.84.054501
WOS:000302994100005,0_157,10,"Lin, MF",LIN,MF,2,2012,Article,2007,ww scattering parameters via pseudoscalar phase shifts,physical review d,1550-7998,10.1103/physrevd.85.074505
WOS:000303282200020,0_157,1,"Lin, Meifeng",LIN,MEIFENG,1,2012,Review,2007,nucleon structure from 2+1-flavor dynamical dwf lattice qcd at nearly physical pion mass,progress in particle and nuclear physics,0146-6410,10.1016/j.ppnp.2011.12.021
WOS:000321207800002,0_157,8,"Lin, MF",LIN,MF,2,2013,Article,2007,lattice calculation of composite dark matter form factors,physical review d,1550-7998,10.1103/physrevd.88.014502
WOS:000332925900007,0_157,7,"Lin, MF",LIN,MF,2,2014,Article,2007,two-color gauge theory with novel infrared behavior,physical review letters,0031-9007,10.1103/physrevlett.112.111601
WOS:000336759700006,0_157,7,"Lin, MF",LIN,MF,2,2014,Article,2007,composite bosonic baryon dark matter on the lattice su4 baryon spectrum and the effective higgs interaction,physical review d,1550-7998,10.1103/physrevd.89.094508
WOS:000338740800006,0_157,4,"Lin, MF",LIN,MF,2,2014,Article,2007,maximum-likelihood approach to topological charge fluctuations in lattice gauge theory,physical review d,2470-0010,10.1103/physrevd.90.014503
WOS:000346384800003,0_157,5,"Lin, MF",LIN,MF,2,2014,Article,2007,lattice simulations with eight flavors of domain wall fermions in su3 gauge theory,physical review d,1550-7998,10.1103/physrevd.90.114502
WOS:000432560400014,0_157,6,"Lin, Meifeng",LIN,MEIFENG,1,2018,Article,2007,multi-slice ptychography with large numerical aperture multilayer laue lenses,optica,2334-2536,10.1364/optica.5.000601
WOS:000460056400012,0_157,8,"Lin, Meifeng",LIN,MEIFENG,1,2019,Article,2007,resolving 500 nm axial separation by multi-slice x-ray ptychography,acta crystallographica a-foundation and advances,2053-2733,10.1107/s2053273318017229
WOS:000302227700037,0_158,3,"Wei, P",WEI,P,2,2012,Article,2011,modified electrical transport probe design for standard magnetometer,review of scientific instruments,0034-6748,10.1063/1.3697998
WOS:000303586700004,0_158,2,"Wei, Peng",WEI,PENG,1,2012,Article,2011,tuning the fermi level in bi2se3 bulk materials and transport devices,frontiers of physics,2095-0462,10.1007/s11467-011-0196-x
WOS:000303794900001,0_158,1,"Wei, Peng",WEI,PENG,1,2012,Article,2011,field-effect mobility enhanced by tuning the fermi level into the band gap of bi2se3,physical review b,1098-0121,10.1103/physrevb.85.201402
WOS:000309654000007,0_158,3,"Wei, Peng",WEI,PENG,1,2012,Article,2011,effect of carrier mobility on magnetothermoelectric transport properties of graphene,physical review b,1098-0121,10.1103/physrevb.86.155414
WOS:000313646500060,0_158,3,"Wei, P",WEI,P,2,2013,Article,2011,linear magnetoresistance in topological insulator thin films quantum phase coherence effects at high temperatures,applied physics letters,0003-6951,10.1063/1.4773207
WOS:000319015600011,0_158,1,"Wei, Peng",WEI,PENG,1,2013,Article,2011,exchange-coupling-induced symmetry breaking in topological insulators,physical review letters,0031-9007,10.1103/physrevlett.110.186807
WOS:000330182700025,0_158,3,"Wei, Peng",WEI,PENG,1,2014,Article,2011,spin-filtered edge states with an electrically tunable gap in a two-dimensional topological crystalline insulator,nature materials,1476-1122,10.1038/nmat3828
WOS:000336249600030,0_158,3,"Wei, P",WEI,P,2,2014,Article,2011,"structure, magnetic ordering, and spin filtering efficiency of nife2o4111 ultrathin films",applied physics letters,0003-6951,10.1063/1.4871733
WOS:000337161700045,0_158,4,"Wei, Peng",WEI,PENG,1,2014,Article,2011,a comparative transport study of bi2se3 and bi2se3/yttrium iron garnet,applied physics letters,0003-6951,10.1063/1.4881975
WOS:000342758700033,0_158,3,"Wei, P",WEI,P,2,2014,Article,2011,quantum coherent transport in snte topological crystalline insulator thin films,applied physics letters,0003-6951,10.1063/1.4895456
WOS:000354351600009,0_158,3,"Wei, P",WEI,P,2,2015,Article,2011,inducing magnetism onto the surface of a topological crystalline insulator,physical review b,2469-9950,10.1103/physrevb.91.195310
WOS:000358863400009,0_158,4,"Wei, Peng",WEI,PENG,1,2015,Article,2011,zero-field dissipationless chiral edge transport and the nature of dissipation in the quantum anomalous hall state,physical review letters,0031-9007,10.1103/physrevlett.115.057206
WOS:000359872000006,0_158,7,"Wei, Peng",WEI,PENG,1,2015,Article,2011,proximity-driven enhanced magnetic order at ferromagnetic-insulator-magnetic-topological-insulator interface,physical review letters,0031-9007,10.1103/physrevlett.115.087201
WOS:000361252700026,0_158,4,"Wei, Peng",WEI,PENG,1,2015,Article,2011,independent tuning of electronic properties and induced ferromagnetism in topological insulators with heterostructure approach,nano letters,1530-6984,10.1021/acs.nanolett.5b01905
WOS:000374274600087,0_158,1,"Wei, Peng",WEI,PENG,1,2016,Article,2011,induced superconductivity and engineered josephson tunneling devices in epitaxial 111-oriented gold/vanadium heterostructures,nano letters,1530-6984,10.1021/acs.nanolett.6b00361
WOS:000376443100036,0_158,6,"Wei, Peng",WEI,PENG,1,2016,Article,2011,a high-temperature ferromagnetic topological insulating phase by proximity coupling,nature,0028-0836,10.1038/nature17635
WOS:000378347800017,0_158,1,"Wei, Peng",WEI,PENG,1,2016,Article,2011,strong interfacial exchange field in the graphene/eus heterostructure,nature materials,1476-1122,10.1038/nmat4603
WOS:000487851700041,0_158,7,"Wei, Peng",WEI,PENG,1,2019,Article,2011,large-area adlayer-free single-layer h-bn film achieved by controlling intercalation growth,applied surface science,0169-4332,10.1016/j.apsusc.2019.143851
WOS:000473034200016,0_158,1,"Wei, Peng",WEI,PENG,1,2019,Article,2011,superconductivity in the surface state of noble metal gold and its fermi level tuning by eus dielectric,physical review letters,0031-9007,10.1103/physrevlett.122.247002
WOS:000470880900009,0_158,7,"Wei, Peng",WEI,PENG,1,2019,Article,2011,spin seebeck effect from antiferromagnetic magnons and critical spin fluctuations in epitaxial fef2 films,physical review letters,0031-9007,10.1103/physrevlett.122.217204
WOS:000263599200032,0_159,1,"Yang, Z",YANG,Z,2,2009,Article,2009,ga-related photoluminescence lines in ga-doped zno grown by plasma-assisted molecular-beam epitaxy,applied physics letters,0003-6951,10.1063/1.3080204
WOS:000272627700049,0_159,2,"Yang, Z",YANG,Z,2,2009,Article,2009,blue electroluminescence from zno based heterojunction diodes with cdzno active layers,applied physics letters,0003-6951,10.1063/1.3271770
WOS:000264156300049,0_159,1,"Yang, Z",YANG,Z,2,2009,Article,2009,microstructure and transport properties of znomn diluted magnetic semiconductor thin films,journal of applied physics,0021-8979,10.1063/1.3087473
WOS:000272900800014,0_159,1,"Yang, Z",YANG,Z,2,2009,Article,2009,temperature-dependent photoluminescence of cdzno thin films grown by molecular-beam epitaxy,journal of crystal growth,0022-0248,10.1016/j.jcrysgro.2009.10.013
WOS:000275117900004,0_159,8,"Yang, Zheng",YANG,ZHENG,1,2010,Article,2009,na-doped p-type zno microwires,journal of the american chemical society,0002-7863,10.1021/ja908521s
WOS:000283647600001,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2010,Article,2009,dielectric and carrier transport properties of vanadium dioxide thin films across the phase transition utilizing gated capacitor devices,physical review b,1098-0121,10.1103/physrevb.82.205101
WOS:000276629300057,0_159,2,"Yang, Z",YANG,Z,2,2010,Article,2009,thermal stability of cdzno thin films grown by molecular-beam epitaxy,applied surface science,0169-4332,10.1016/j.apsusc.2010.02.083
WOS:000282646400186,0_159,1,"Yang, Z",YANG,Z,2,2010,Article,2009,homobuffer thickness effect on the background electron carrier concentration of epitaxial zno thin films,journal of applied physics,0021-8979,10.1063/1.3486445
WOS:000283222200068,0_159,1,"Yang, Z",YANG,Z,2,2010,Article,2009,metal-insulator transition characteristics of vo2 thin films grown on ge100 single crystals,journal of applied physics,0021-8979,10.1063/1.3492716
WOS:000275611100009,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2010,Article,2009,znosb/znoga light emitting diode on c-plane sapphire by molecular beam epitaxy,applied physics express,1882-0778,10.1143/apex.3.032101
WOS:000295236900027,0_159,2,"Yang, Zheng",YANG,ZHENG,1,2011,Article,2009,work function of vanadium dioxide thin films across the metal-insulator transition and the role of surface nonstoichiometry,acs applied materials & interfaces,1944-8244,10.1021/am2006299
WOS:000293956600087,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2011,Article,2009,studies on electric triggering of the metal-insulator transition in vo2 thin films between 77 k and 300 k,journal of applied physics,0021-8979,10.1063/1.3619806
WOS:000286853400020,0_159,1,"Yang, Z",YANG,Z,2,2011,Article,2009,epitaxial mn-doped zno diluted magnetic semiconductor thin films grown by plasma-assisted molecular-beam epitaxy,journal of crystal growth,0022-0248,10.1016/j.jcrysgro.2010.11.059
WOS:000289149900030,0_159,3,"Yang, Zheng",YANG,ZHENG,1,2011,Article,2009,geometric confinement effects on the metal-insulator transition temperature and stress relaxation in vo2 thin films grown on silicon,journal of applied physics,0021-8979,10.1063/1.3556756
WOS:000290586800036,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2011,Article,2009,direct measurement of compositional complexity-induced electronic inhomogeneity in vo2 thin films grown on gate dielectrics,applied physics letters,0003-6951,10.1063/1.3590920
WOS:000292776500147,0_159,1,"Yang, Z",YANG,Z,2,2011,Article,2009,thermal annealing effect on spin coherence in zno single crystals,journal of applied physics,0021-8979,10.1063/1.3601869
WOS:000292963500019,0_159,3,"Yang, Zheng",YANG,ZHENG,1,2011,Article,2009,tisi2 nanocrystal metal oxide semiconductor field effect transistor memory,ieee transactions on nanotechnology,1536-125X,10.1109/tnano.2010.2049271
WOS:000311967000001,0_159,6,"Yang, Zheng",YANG,ZHENG,1,2012,Article,2009,ultra-thin perfect absorber employing a tunable phase change material,applied physics letters,0003-6951,10.1063/1.4767646
WOS:000299127200105,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2012,Article,2009,studies on room-temperature electric-field effect in ionic-liquid gated vo2 three-terminal devices,journal of applied physics,0021-8979,10.1063/1.3665399
WOS:000298380300033,0_159,2,"Yang, Zheng",YANG,ZHENG,1,2012,Article,2009,multi-resistance states through electrically driven phase transitions in vo2/hfo2/vo2 heterostructures on silicon,ieee electron device letters,0741-3106,10.1109/led.2011.2173790
WOS:000314173200024,0_159,4,"Yang, Zheng",YANG,ZHENG,1,2013,Article,2009,voltage-triggered ultrafast phase transition in vanadium dioxide switches,ieee electron device letters,0741-3106,10.1109/led.2012.2229457
WOS:000314629600044,0_159,4,"Yang, Zheng",YANG,ZHENG,1,2013,Article,2009,thermal tuning of mid-infrared plasmonic antenna arrays using a phase change material,optics letters,0146-9592,1
WOS:000321784500003,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2013,Article,2009,a perspective of recent progress in zno diluted magnetic semiconductors,applied physics a-materials science & processing,0947-8396,10.1007/s00339-013-7658-7
WOS:000354188100014,0_159,1,"Yang, Zheng",YANG,ZHENG,1,2015,Article,2009,breakthroughs in photonics 2014 phase change materials for photonics,ieee photonics journal,1943-0655,10.1109/jphot.2015.2413594
WOS:000373685100005,0_159,11,"Yang, Zheng",YANG,ZHENG,1,2016,Article,2009,research update spin transfer torques in permalloy on monolayer mos2,apl materials,2166-532X,10.1063/1.4943076
WOS:000386624100013,0_159,5,"Yang, Zheng",YANG,ZHENG,1,2016,Article,2009,regulating carrier dynamics in single crystal halide perovskite via interface engineering and optical doping,advanced electronic materials,2199-160X,10.1002/aelm.201600248
WOS:000402498000051,0_159,4,"Yang, Zheng",YANG,ZHENG,1,2017,Article,2009,synthesis of high-quality agsbse2 and agbise2 nanocrystals with antimony and bismuth silylamide reagents,chemistry of materials,0897-4756,10.1021/acs.chemmater.7b01593
WOS:000432093200039,0_159,5,"Yang, Zheng",YANG,ZHENG,1,2018,Article,2009,reconfigurable vanadium dioxide nanomembranes and microtubes with controllable phase transition temperatures,nano letters,1530-6984,10.1021/acs.nanolett.8b00483
WOS:000268239400002,0_16,1,"Ding, Keying",DING,KEYING,1,2009,Article,2009,cobalt-dinitrogen complexes with weakened n-n bonds,journal of the american chemical society,0002-7863,10.1021/ja808783u
WOS:000268806500005,0_16,1,"Ding, Keying",DING,KEYING,1,2009,Article,2009,three-coordinate and four-coordinate cobalt hydride complexes that react with dinitrogen,journal of the american chemical society,0002-7863,10.1021/ja902812y
WOS:000271339800012,0_16,1,"Ding, Keying",DING,KEYING,1,2009,Article,2009,coordination of n-methylpyrrolidone to ironii,journal of organometallic chemistry,0022-328X,10.1016/j.jorganchem.2009.09.005
WOS:000295115000015,0_16,3,"Ding, Keying",DING,KEYING,1,2011,Article,2009,first-row transition-metal chloride complexes of the wide bite-angle diphosphine iprdpdbfphos and reactivity studies of monovalent nickel,inorganic chemistry,0020-1669,10.1021/ic200589e
WOS:000288182700066,0_16,1,"Ding, Keying",DING,KEYING,1,2011,Article,2009,"study of the conformationally flexible, wide bite-angle diphosphine 4,6-bis3-diisopropylphosphinophenyldibenzofuran in rhodiumi and palladiumii coordination complexes",inorganic chemistry,0020-1669,10.1021/ic102373w
WOS:000306200500007,0_16,1,"Ding, Keying",DING,KEYING,1,2012,Article,2009,roles of monomer binding and alkoxide nucleophilicity in aluminum-catalyzed polymerization of epsilon-caprolactone,macromolecules,0024-9297,10.1021/ma301130b
WOS:000302348200027,0_16,5,"Ding, Keying",DING,KEYING,1,2012,Article,2009,characterization of the fe?h bond in a three-coordinate terminal hydride complex of ironi,angewandte chemie-international edition,1433-7851,10.1002/anie.201109204
WOS:000323460800009,0_16,4,"Ding, Keying",DING,KEYING,1,2013,Article,2009,mixed-valent dicobalt and iron-cobalt complexes with high-spin configurations and short metal-metal bonds,inorganic chemistry,0020-1669,10.1021/ic400292g
WOS:000347761000009,0_16,7,"Ding, Keying",DING,KEYING,1,2015,Article,2009,"biobr photocatalysts with tunable exposing proportion of {001} facets combustion synthesis, characterization, and high visible-light photocatalytic properties",materials letters,0167-577X,10.1016/j.matlet.2014.10.032
WOS:000359499500032,0_16,1,"Ding, Keying",DING,KEYING,1,2015,Article,2009,high-performance pressure-sensitive adhesives from renewable triblock copolymers,biomacromolecules,1525-7797,10.1021/acs.biomac.5b00754
WOS:000358702700034,0_16,4,"Ding, Keying",DING,KEYING,1,2015,Article,2009,combustion synthesis of bi/biocl composites with enhanced electron-hole separation and excellent visible light photocatalytic properties,separation and purification technology,1383-5866,10.1016/j.seppur.2015.06.002
WOS:000380591000011,0_16,3,"Ding, Keying",DING,KEYING,1,2016,Article,2009,nickel catalysts for the dehydrative decarbonylation of carboxylic acids to alkenes,organometallics,0276-7333,10.1021/acs.organomet.6b00415
WOS:000401044700043,0_16,1,"Ding, Keying",DING,KEYING,1,2017,Article,2009,nickel-catalyzed decarbonylation of aromatic aldehydes,journal of organic chemistry,0022-3263,10.1021/acs.joc.7b00284
WOS:000427094000011,0_16,10,"Ding, Keying",DING,KEYING,1,2018,Article,2009,"tripodal n,p mixed-donor ligands and their cobalt complexes efficient catalysts for acceptorless dehydrogenation of secondary alcohols",inorganic chemistry,0020-1669,10.1021/acs.inorgchem.8b00043
WOS:000441112700020,0_16,9,"Ding, Keying",DING,KEYING,1,2018,Article,2009,cobalt-catalyzed acceptorless dehydrogenative coupling of primary alcohols to esters,organic letters,1523-7060,10.1021/acs.orglett.8b01775
WOS:000487577200049,0_16,3,"Ding, Keying",DING,KEYING,1,2019,Article,2009,selective ketone formations via cobalt-catalyzed beta-alkylation of secondary alcohols with primary alcohols,organic letters,1523-7060,10.1021/acs.orglett.9b02727
WOS:000268659100001,0_164,2,"Liu, YM",LIU,YM,2,2009,Article,2009,coupled magnetic plasmons in metamaterials,physica status solidi b-basic solid state physics,0370-1972,10.1002/pssb.200844414
WOS:000276002500075,0_164,3,"Liu, Yongmin",LIU,YONGMIN,1,2010,Article,2009,far-field measurement of ultra-small plasmonic mode volume,optics express,1094-4087,10.1364/oe.18.006048
WOS:000274003100013,0_164,3,"Liu, YM",LIU,YM,2,2010,Article,2009,optical negative refraction in ferrofluids with magnetocontrollability,physical review letters,0031-9007,10.1103/physrevlett.104.034501
WOS:000280631900008,0_164,3,"Liu, Yongmin",LIU,YONGMIN,1,2010,Article,2009,light-driven nanoscale plasmonic motors,nature nanotechnology,1748-3387,10.1038/nnano.2010.128
WOS:000278449200004,0_164,1,"Liu, Yongmin",LIU,YONGMIN,1,2010,Article,2009,transformational plasmon optics,nano letters,1530-6984,10.1021/nl1008019
WOS:000286734400007,0_164,5,"Liu, Yongmin",LIU,YONGMIN,1,2010,Article,2009,optical mobius symmetry in metamaterials,physical review letters,0031-9007,10.1103/physrevlett.105.235501
